IMF Z log(age) U B1 B2 V R u g r i z
CHA 0.0001 8.95 4.183932026942647 4.134655192979314 4.143313732925561 3.7440311614068142 3.268016632022964 5.5495633560685445 4.3214304624401105 4.033519463095997 3.811091031043913 3.6870387784697107
CHA 0.0001 9.0 4.278240554843334 4.224747219328035 4.233806532339929 3.8273580583421123 3.355072057615991 5.644855929778997 4.407224590799499 4.1182829346275565 3.901508328637964 3.782106711185262
CHA 0.0001 9.18 4.724289570166573 4.6541290323680276 4.669141556174769 4.09063116695148 3.5199203052375068 6.0667523281586835 4.76092724489259 4.3133983481034885 4.029941898041768 3.8963977726196553
CHA 0.0001 9.3 5.001772991742414 4.91859726492251 4.935019125499903 4.324063946103449 3.742422545785257 6.341964868089709 5.009447670940409 4.538443634281419 4.249846576339349 4.117046609977974
CHA 0.0001 9.4 5.257881889291 5.18218286316692 5.198722534718014 4.590928636204944 4.019540821760506 6.594746035141773 5.2729081199957815 4.811283513474846 4.5324792044980935 4.405504881855583
CHA 0.0001 9.48 5.421899757741235 5.356963956108299 5.373512301658326 4.769922933234691 4.2101500561476914 6.756453822173738 5.448222916087557 4.996801534637006 4.729852954165578 4.610396358428764
CHA 0.0001 9.54 5.55537670166694 5.497085831664924 5.513950338888316 4.902978581109215 4.342966477693382 6.88730561457764 5.584490293124473 5.129108609071251 4.863544510586456 4.745979463495123
CHA 0.0001 9.6 5.668789466218866 5.624953718553131 5.64205141411956 5.02126078252552 4.453365211376477 6.99706093882706 5.708418492625325 5.2423576256431215 4.9702558578341876 4.8490151445720056
CHA 0.0001 9.65 5.823008440138052 5.800923458568462 5.817501802460793 5.211088354318181 4.653548145343192 7.147151750686026 5.890552355391646 5.438931469826093 5.174839789902235 5.056835216994271
CHA 0.0001 9.7 5.904760614932837 5.8788889256885355 5.896170619234755 5.270473959970185 4.70638164519763 7.228861895359016 5.9595232025285565 5.4928507678480525 5.226945138188141 5.111089424617687
CHA 0.0001 9.74 5.976020770157341 5.947333610882373 5.965369826381869 5.320331636590658 4.750244954676156 7.2990135981666935 6.018708478198375 5.537636587402906 5.270201268623849 5.156397935146542
CHA 0.0001 9.78 6.068334833216877 6.0349292273109345 6.053665355334433 5.391037978982863 4.814933858029893 7.3907569243970865 6.097872822203042 5.603493013023273 5.333852787106258 5.221185758305451
CHA 0.0001 9.81 6.165422959314546 6.142542622602339 6.16100020297998 5.507334018673159 4.9399164907772795 7.486071746556034 6.209056809249253 5.725040673273943 5.4632881663190656 5.355069705558476
CHA 0.0001 9.85 6.242571296630162 6.2230388919101545 6.241811466677018 5.579344056797404 5.007742046695412 7.5614371428489715 6.28551537521229 5.793989777800858 5.529835828900202 5.421175170565489
CHA 0.0001 9.9 6.334272941881542 6.322255293304311 6.34145237156922 5.668129276927104 5.092396172534162 7.649609946352255 6.379525538985247 5.879560036887552 5.613541536193699 5.505102680855655
CHA 0.0001 9.95 6.50166115543259 6.486804223573371 6.506123132408513 5.8295080689069705 5.2517827974989615 7.817691023201403 6.54261034263269 6.039539451535786 5.772219632701292 5.663173198494361
CHA 0.0001 10.0 6.611464091737951 6.601594132422239 6.620404918308493 5.959835636113638 5.394739157369642 7.929187497946591 6.664073953044001 6.177871388874051 5.921046300211655 5.816696883713446
CHA 0.0001 10.04 6.664476270734538 6.65207979769335 6.6705000666078655 6.022546467046656 5.466338939900853 7.984848801787477 6.719901720196033 6.2463497594993225 5.996587751006535 5.894987296340778
CHA 0.0001 10.08 6.756782663460679 6.742110670586487 6.760400672937162 6.117183752331346 5.563489859066518 8.077898298317733 6.811971752194713 6.3427159082540765 6.094650422299045 5.9932069236932275
CHA 0.0001 10.11 6.829190881467988 6.815418155405579 6.8336044130230675 6.193548315714722 5.642425872335174 8.15137284877334 6.886597902429555 6.420607070375416 6.174955717259072 6.074581226166492
CHA 0.0001 10.12 6.84055654102208 6.825579654439971 6.843535634150653 6.20905066700073 5.660445825654914 8.164200195367739 6.899434477709901 6.437872084539093 6.193879078089649 6.093804016105109
CHA 0.0001 10.13 6.874686162382389 6.8627110177623925 6.880723133730658 6.245235794590701 5.697159224720098 8.19753651252879 6.935938640671621 6.474213454154556 6.231134562709213 6.1318417700759
CHA 0.0001 10.14 6.95670525171038 6.955631239527012 6.9731442012968845 6.351036118253933 5.8108802351059055 8.277460924993163 7.034916379177835 6.5852179571321425 6.348274853349642 6.251691798765476
CHA 0.0001 10.15 6.986591760011076 6.988080552795074 7.0058457503831715 6.377087496488004 5.833782858400467 8.305501170123504 7.064270041327019 6.609010266083116 6.3701160490098925 6.273094137108975
CHA 0.0001 10.18 7.034639767554723 7.0429083576048495 7.060272167351448 6.4435928057320675 5.908403730880147 8.352530312641205 7.124306265992869 6.680778765324318 6.448343417957174 6.354078265756881
CHA 0.0004 5.0 0.21422847554396052 1.251951966519775 1.2383277457649204 1.498004134626974 1.6334695081167943 1.3215880661415063 1.7073580383358524 2.158876412389487 2.5738730484274988 2.8609875458511573
